"id","base_code_id/id","tax_code_id/id","amount","applicable_type","base_sign","ref_base_sign","account_collected_id/id","python_compute","python_compute_inv","ref_base_code_id/id","account_paid_id/id","ref_tax_code_id/id","sequence","type_tax_use","description","ref_tax_sign","tax_sign","price_include","name","type","child_depend","chart_template_id/id"
"__export__.account_tax_9","","","107.55","true","1.0","1.0","","# price_unit # address: res.partner.address object or False # product: product.product object or None # partner: res.partner object or None  result = price_unit * 0.10","# price_unit # address: res.partner.address object or False # product: product.product object or False  result = price_unit * 0.10","","","","1","All","","1.0","1.0","False",'"Lecky''s Test"',"percent","False","l10n_au_manufacturing.l10n_au_manufacturing"
"__export__.account_tax_5","l10n_au_manufacturing.16","l10n_au_manufacturing.08","0.1","true","1.0","-1.0","","# price_unit # address: res.partner.address object or False # product: product.product object or None # partner: res.partner object or None  result = price_unit * 0.10","# price_unit # address: res.partner.address object or False # product: product.product object or False  result = price_unit * 0.10","l10n_au_manufacturing.16","","l10n_au_manufacturing.08","1","Purchase","PURCHASE_CAPITAL_GST_10","-1.0","1.0","False","Capital purchases (10.0%)","percent","False","l10n_au_manufacturing.l10n_au_manufacturing"
"__export__.account_tax_2","l10n_au_manufacturing.12","l10n_au_manufacturing.06","","true","1.0","-1.0","__export__.account_account_48","# price_unit # address: res.partner.address object or False # product: product.product object or None # partner: res.partner object or None  result = price_unit * 0.10","# price_unit # address: res.partner.address object or False # product: product.product object or False  result = price_unit * 0.10","l10n_au_manufacturing.12","__export__.account_account_48","l10n_au_manufacturing.04","1","Sale","SALE_ZERO_RATED","-1.0","1.0","False","Zero rated sales","percent","False","l10n_au_manufacturing.l10n_au_manufacturing"
"__export__.account_tax_3","l10n_au_manufacturing.14","l10n_au_manufacturing.06","","true","1.0","-1.0","__export__.account_account_48","# price_unit # address: res.partner.address object or False # product: product.product object or None # partner: res.partner object or None  result = price_unit * 0.10","# price_unit # address: res.partner.address object or False # product: product.product object or False  result = price_unit * 0.10","l10n_au_manufacturing.14","__export__.account_account_48","l10n_au_manufacturing.04","1","Sale","SALE_GST_EXEMPT","-1.0","1.0","False","Exempt sales","percent","False","l10n_au_manufacturing.l10n_au_manufacturing"
"__export__.account_tax_6","l10n_au_manufacturing.20","l10n_au_manufacturing.08","","true","1.0","-1.0","","# price_unit # address: res.partner.address object or False # product: product.product object or None # partner: res.partner object or None  result = price_unit * 0.10","# price_unit # address: res.partner.address object or False # product: product.product object or False  result = price_unit * 0.10","l10n_au_manufacturing.20","","l10n_au_manufacturing.08","1","Purchase","PURCHASE_ZERO_RATED","-1.0","1.0","False","Zero rated purchases","percent","False","l10n_au_manufacturing.l10n_au_manufacturing"
"__export__.account_tax_7","l10n_au_manufacturing.16","l10n_au_manufacturing.08","0.1","true","1.0","-1.0","__export__.account_account_48","result = (price_unit * 1.10) * 0.20","# price_unit # address: res.partner.address object or False # product: product.product object or False  result = price_unit * 0.10","l10n_au_manufacturing.16","__export__.account_account_48","l10n_au_manufacturing.08","1","Purchase","PURCHASE_WET_TAX","-1.0","1.0","False","WET tax on wholesale alcohol sales","code","False","l10n_au_manufacturing.l10n_au_manufacturing"
"__export__.account_tax_1","l10n_au_manufacturing.10","l10n_au_manufacturing.06","0.1","true","1.0","-1.0","__export__.account_account_48","# price_unit # address: res.partner.address object or False # product: product.product object or None # partner: res.partner object or None  result = price_unit * 0.10","# price_unit # address: res.partner.address object or False # product: product.product object or False  result = price_unit * 0.10","l10n_au_manufacturing.10","__export__.account_account_48","l10n_au_manufacturing.04","1","Sale","SALE_GST_10","-1.0","1.0","False","GST Sales","percent","False","l10n_au_manufacturing.l10n_au_manufacturing"
"__export__.account_tax_4","l10n_au_manufacturing.18","l10n_au_manufacturing.08","0.1","true","1.0","-1.0","__export__.account_account_257","# price_unit # address: res.partner.address object or False # product: product.product object or None # partner: res.partner object or None  result = price_unit * 0.10","# price_unit # address: res.partner.address object or False # product: product.product object or False  result = price_unit * 0.10","l10n_au_manufacturing.18","__export__.account_account_257","l10n_au_manufacturing.08","1","Purchase","PURCHASE_GST_10","-1.0","1.0","False","GST purchases / paid","percent","False","l10n_au_manufacturing.l10n_au_manufacturing"
